function,block,branch,section,detection,flag_write_kind,file,line
sub_00011111,00011111,jb,.text,tail_jump_alias,initializer only,local/generated/recomp_0000.c,339
sub_000120A0,00013749,jne,.text,call_target,initializer only,local/generated/recomp_0000.c,5233
sub_000120A0,00014D08,jne,.text,call_target,initializer only,local/generated/recomp_0000.c,7399
sub_000120A0,00014D69,je,.text,call_target,initializer only,local/generated/recomp_0000.c,7470
sub_00020005,00020005,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,3127
sub_00020018,00020018,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,3569
sub_00020021,00020021,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,3850
sub_0002003A,0002003A,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,4515
sub_0002005D,0002005D,jnp,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,4886
sub_000200AA,000200AA,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,5652
sub_000200BB,000200BB,jnp,.text,tail_jump_alias,initializer only,local/generated/recomp_0001.c,6034
sub_0002F290,00031407,jl,.text,call_target,initializer only,local/generated/recomp_0002.c,9559
sub_0002FF01,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,11579
sub_0002FFFF,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,13489
sub_0003009B,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,15346
sub_000300A9,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,17196
sub_00030987,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,18356
sub_00030D00,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,19141
sub_00030E0A,00031407,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0002.c,19824
sub_0003CFE0,0003E35B,jle,.text,call_target,initializer only,local/generated/recomp_0004.c,7639
sub_0004007D,0004007D,jl,.text,tail_jump_alias,initializer only,local/generated/recomp_0004.c,12068
sub_000400B0,000400B0,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0004.c,13481
sub_000417C4,000417C4,jnp,.text,imm_ref_target,initializer only,local/generated/recomp_0005.c,6278
sub_000600B5,000600B5,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0009.c,10766
sub_00062240,00062500,jge,.text,call_target,initializer only,local/generated/recomp_0010.c,514
sub_00066680,000666D8,jne,.text,call_target,initializer only,local/generated/recomp_0010.c,8442
sub_00066680,000667BA,jne,.text,call_target,initializer only,local/generated/recomp_0010.c,8529
sub_0006E130,0006ECA4,je,.text,call_target,initializer + string equality,local/generated/recomp_0010.c,24248
sub_0006E130,0007012A,je,.text,call_target,initializer + string equality,local/generated/recomp_0010.c,26878
sub_000700B5,000700B5,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0010.c,28277
sub_000700B5,0007012A,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0010.c,28354
sub_00073E50,00074147,je,.text,call_target,initializer only,local/generated/recomp_0011.c,3986
sub_00076A80,00077061,jne,.text,call_target,initializer only,local/generated/recomp_0011.c,9014
sub_000789EA,000789EA,jno,.text,gap_prologue,initializer only,local/generated/recomp_0011.c,12162
sub_000B20D0,000B20D0,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0019.c,15104
sub_000B85FE,000B8613,jp,.text,gap_prologue,initializer only,local/generated/recomp_0019.c,26903
sub_000C00B4,000C00B4,jp,.text,tail_jump_alias,initializer only,local/generated/recomp_0020.c,20284
sub_000E77D0,000E78A5,js,.text,call_target,initializer only,local/generated/recomp_0023.c,16741
sub_000E77D0,000E78A9,js,.text,call_target,initializer only,local/generated/recomp_0023.c,16748
sub_000E77D0,000E78AD,js,.text,call_target,initializer only,local/generated/recomp_0023.c,16755
sub_000F0012,000F0012,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0025.c,9115
sub_000F2122,000F2173,je,.text,prologue,initializer only,local/generated/recomp_0026.c,2109
sub_000F52D5,000F52D5,je,.text,call_target,initializer only,local/generated/recomp_0027.c,1205
sub_000F6C61,000F6C61,je,.text,tail_jump_alias,initializer only,local/generated/recomp_0028.c,499
sub_000F7365,000F7459,jne,.text,tail_jump_alias,initializer only,local/generated/recomp_0028.c,2890
sub_000F736C,000F7459,jne,.text,tail_jump_alias,initializer only,local/generated/recomp_0028.c,3687
sub_00100041,00100041,jne,D3D,tail_jump_alias,initializer only,local/generated/recomp_0031.c,1851
sub_00100042,00100042,jne,D3D,tail_jump_alias,initializer only,local/generated/recomp_0031.c,2032
sub_00100043,00100043,jne,D3D,tail_jump_alias,initializer only,local/generated/recomp_0031.c,2212
sub_00101101,00101101,jl,D3D,tail_jump_alias,initializer only,local/generated/recomp_0031.c,5834
sub_0010FFFF,0010FFFF,jb,D3DX,tail_jump_alias,initializer only,local/generated/recomp_0033.c,9842
sub_0011AE20,0011B040,jne,D3DX,prologue,initializer only,local/generated/recomp_0035.c,9757
sub_00121717,00121829,je,D3DX,prologue,initializer only,local/generated/recomp_0036.c,8857
sub_00135A78,00135A78,je,XGRPH,cc_boundary,initializer only,local/generated/recomp_0039.c,13183
sub_001578EA,0015797C,jne,XPP,gap_prologue,initializer only,local/generated/recomp_0045.c,3186
sub_0015AA08,0015AA08,jbe,XPP,cc_boundary,initializer only,local/generated/recomp_0046.c,3117
sub_00946080,00946080,jp,DOLBY,imm_ref_target,initializer only,local/generated/recomp_0046.c,3246
